airport_code,airport_name,airport_name_zh
AOT,Aosta Airport,none
AOY,Asaloyeh Airport,none
APA,Centennial Airport,none
APB,Apolo Airport,none
APC,Napa County Airport,none
APE,San Juan Aposento Airport,none
APF,Naples Municipal Airport,none
APG,Phillips Army Air Field,none
APH,Ap Hill Lz (Fort Ap Hill) Airport,none
API,Gomez Nino Apiay Air Base,none
APJ,Ali Pulan Airport,阿里普兰机场
APK,Apataki Airport,none
APL,Nampula Airport,none
APN,Alpena County Regional Airport,none
APO,Antonio Roldan Betancourt Airport,none
APQ,Arapiraca Airport,none
APS,Anapolis Airport,none
APT,Marion County/Brown Field,none
APU,Apucarana Airport,none
APV,Apple Valley Airport,none
APW,Faleolo International Airport,法莱奥洛国际机场
APX,Arapongas Airport,none
APY,Alto Parnaiba Airport,none
APZ,Zapala Airport,none
AQA,Araraquara Airport,none
AQB,Santa Cruz del Quiche Airport,none
AQG,Anqing Airport,安庆天柱山机场
AQI,Hafr Al Batin Airport,none
AQJ,Aqaba King Hussein International Airport,侯赛因国王国际机场
AQM,Nova Vida Airport,none
AQP,Rodriguez Ballon International Airport,none
AQY,Girdwood Airport,none
ARA,Acadiana Regional Airport,none
ARB,Ann Arbor Municipal Airport,none
ARC,Arctic Village Airport,none
ARD,Mali Airport,none
ARE,Antonio/Nery/Juarbe Pol Airport,none
ARG,Walnut Ridge Regional Airport,none
ARH,Talagi Airport,none
ARI,Chacalluta Airport,none
ARJ,Arso Airport,none
ARK,Arusha Airport,阿鲁沙机场
ARL,Arly Airport,none
ARM,Armidale Airport,none
ARN,Stockholm-Arlanda Airport,斯德哥爾摩阿蘭達機場
ARR,D. Casimiro Szlapelis Airport,none
ARS,Estancia das Cascatas Airport,none
ART,Watertown International Airport,none
ARU,Aracatuba Airport,none
ARV,Lakeland/Noble F Lee Memorial Field,none
ARW,Arad International Airport,none
ARY,Ararat Airport,none
ARZ,N'zeto Airport,none
ASA,Assab International Airport,阿薩布國際機場
ASB,Ashgabat Airport,阿什哈巴德国际机场
ASC,Ascencion De Guarayos Airport,none
ASD,Andros Town Airport,none
ASE,Aspen-Pitkin County/Sardy Field,none
ASF,Astrakhan Airport,none
ASG,Ashburton Aerodrome,none
ASH,Boire Field,none
ASI,RAF Ascension Island,阿森松島皇家空軍基地
ASJ,Amami Airport,奄美機場
ASK,Yamoussoukro Airport,雅穆索戈國際機場
ASL,Harrison County Airport,none
ASM,Asmara International Airport,阿斯馬拉國際機場
ASN,Talladega Municipal Airport,none
ASO,Asosa Airport,none
ASP,Alice Springs Airport,愛麗斯泉機場
ASQ,Austin Airport,none
ASR,Kayseri Erkilet Airport,none
ASS,Arathusa Safari Lodge Airport,none
AST,Astoria Regional Airport,none
ASU,Silvio Pettirossi International Airport,西爾維奧·佩蒂羅西國際機場
ASV,Amboseli Airport,none
ASW,Aswan International Airport,none
ASX,John F Kennedy Memorial Airport,none
ASY,Ashley Municipal Airport,none
ATA,Comandante FAP German Arias Graziani Airport,none
ATB,Atbara Airport,none
ATC,Arthur's Town Airport,none
ATD,Uru Harbour Airport,none
ATE,Antlers Municipal Airport,none
ATF,Chachoan Airport,none
ATH,Eleftherios Venizelos International Airport,雅典埃莱夫塞里奥斯·韦尼泽洛斯国际机场
ATI,Artigas International Airport,none
ATJ,Antsirabe Airport,none
ATK,Atqasuk Edward Burnell Sr Memorial Airport,none
ATL,Hartsfield/Jackson Atlanta International Airport,哈茨菲尔德-杰克逊亚特兰大国际机场
ATM,Altamira Airport,none
ATO,Ohio University Airport,none
ATP,Aitape Airport,none
ATQ,Sri Guru Ram Dass Jee International Airport Amritsar,none
ATR,Atar International Airport,阿塔尔国际机场
ATS,Artesia Municipal Airport,none
ATT,Atmautluak Airport,none
ATU,Casco Cove Cgs Airport,none
ATV,Ati Airport,none
ATW,Appleton International Airport,none
ATY,Watertown Regional Airport,none
ATZ,Assiut International Airport,艾斯尤特机场
AUA,Queen Beatrix International Airport,貝婭特麗克絲女王國際機場
AUC,Santiago Perez Airport,none
AUD,Augustus Downs Airport,none
AUF,Auxerre-Branches Airport,none
AUG,Augusta State Airport,none
AUH,Abu Dhabi International Airport,阿布扎比國際機場
AUJ,Ambunti Airport,none
AUK,Alakanuk Airport,none
AUM,Austin Municipal Airport,none
AUN,Auburn Municipal Airport,none
AUO,Auburn University Regional Airport,none
AUQ,Hiva Oa-Atuona Airport,none
AUR,Aurillac Airport,欧里亚克机场
AUS,Austin-Bergstrom International Airport,none
AUT,Atauro Airport,none
AUU,Aurukun Airport,none
AUW,Wausau Downtown Airport,none
AUX,Araguaina Airport,none
AUY,Anelghowhat Airport,none
AUZ,Aurora Municipal Airport,none
AVA,Anshun Huangguoshu Airport,安顺黄果树机场
AVB,Aviano Air Base,阿维亚诺空军基地
AVG,Auvergne Airport,none
AVI,Maximo Gomez Airport,none
AVK,Arvaikheer Airport,阿尔拜赫雷机场
AVL,Asheville Regional Airport,none
AVN,Avignon-Caumont Airport,阿维尼翁机场
AVO,Avon Park Executive Airport,none
AVP,Wilkes-Barre/Scranton International Airport,none
AVU,Avu Avu Airport,none
AVV,Avalon Airport,爱华隆机场
AVW,Marana Regional Airport,none
AVX,Catalina Airport,none
AWA,Awassa Airport,none
AWB,Awaba Airport,none
AWD,Aniwa Airport,none
AWK,Wake Island Airfield,none
AWM,West Memphis Municipal Airport,none
AWN,Alton Downs Airport,none
AWP,Austral Downs Airport,none
AWZ,Ahwaz Airport,none
AXA,Wallblake Airport,none
AXB,Maxson Airfield,none
AXC,Aramac Airport,none
AXD,Dimokritos Airport,亞歷山德魯波利斯德謨克利特國際機場
AXE,Xanxere Airport,none
AXF,Alxa Left Banner Bayanhot Airport,阿拉善左旗巴彦浩特机场
AXG,Algona Municipal Airport,none
AXJ,Amakusa Airport,天草飛行場
AXK,Ataq Airport,none
AXL,Alexandria Homestead Airport,none
AXM,El Eden Airport,none
AXN,Alexandria Regional/Chandler Field,none
AXP,Spring Point Airport,none
AXR,Arutua Airport,none
AXS,Altus/Quartz Mountain Regional Airport,none
AXT,Akita Airport,秋田機場
AXU,Axum Airport,none
AXV,Neil Armstrong Airport,none
AXX,Angel Fire Airport,none
AYG,Yaguara Airport,none
AYJ,Maharishi Valmiki International Airport,none
AYL,Anthony Lagoon Airport,none
AYM,Yas Island Seaplane Base,none
AYN,Anyang Airport,安阳殷都机场
AYO,Juan De Ayolas Airport,none
AYP,Coronel FAP Alfredo Mendivil Duarte Airport,none
AYQ,Ayers Rock Connellan Airport,none
AYR,Ayr Airport,none
AYS,Waycross-Ware County Airport,none
AYT,Antalya International Airport,安塔利亚机场
AYU,Aiyura Airport,none
AYX,Teniente General Gerardo Perez Pinedo Airport,none
AZA,Mesa Gateway Airport,none
AZD,Shahid Sadooghi Airport,none
AZH,Azamgarh Airport,none
AZI,Al Bateen Executive Airport,none
AZL,Fazenda Tucunare Airport,none
AZN,Andizhan Airport,安集延機場
AZO,Kalamazoo/Battle Creek International Airport,none
AZP,Atizapan De Zaragoza Airport,none
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,none
AZS,Samana El Catey International Airport,none
AZZ,Ambriz Airport,安布里什機場
BAA,Bialla Airport,none
BAB,Beale Afb Airport,比爾空軍基地
BAD,Barksdale Afb Airport,none
BAE,Barcelonnette - Saint-Pons Airport,none
BAF,Westfield-Barnes Regional Airport,none
BAG,Loakan Airport,洛坎机场
BAH,Bahrain International Airport,巴林国际机场
BAI,Buenos Aires Airport,none
BAL,Batman Airport,none
BAM,Battle Mountain Airport,none
BAN,Basongo Airport,none
BAO,Udorn Air Base,none
BAQ,Ernesto Cortissoz International Airport,none
BAR,Qionghai Boao Airport,琼海博鳌国际机场
BAS,Ballalae Airport,none
BAT,Chafei Amsei Airport,none
BAU,Bauru Airport,none
BAV,Baotou Airport,包头东河国际机场
BAX,Barnaul Airport,none
BAY,Tautii Magheraus Airport,none
BAZ,Barcelos Airport,none
BBA,Balmaceda Airport,none
BBB,Benson Municipal Airport,none
BBC,Bay City Regional Airport,none
BBD,Curtis Field,none
BBG,Butaritari Atoll Airport,布塔里塔里機場
BBH,Barth Airport,none
BBI,Biju Patnaik Airport,none
BBJ,Bitburg Airport,none
BBK,Kasane Airport,none
BBL,Ballera Airport,none
BBM,Battambang Airport,none
BBN,Bario Airport,none
BBO,Berbera Airport,none
BBP,Bembridge Airport,none
BBR,Baillif Airport,none
BBS,Blackbushe Airport,none
BBT,Berberati Airport,none
BBU,Baneasa International Airport,布加勒斯特伯尼亚萨-奥雷尔·弗拉伊库国际机场
BBV,Nero-Mer Airport,none
BBW,Broken Bow Municipal/Keith Glaze Field,none
BBX,Wings Field,none
BBY,Bambari Airport,none
BBZ,Zambezi Airport,赞比西机场
BCA,Gustavo Rizo Airport,古斯塔沃·里佐机场
BCB,Virginia Tech/Montgomery Executive Airport,none
BCC,Bear Creek 3 Airport,none
BCD,Bacolod-Silay City International Airport,巴科洛德-錫萊國際機場
BCE,Bryce Canyon Airport,none
BCF,Bouca Airport,none
BCG,Bemichi Airport,none
BCH,Cakung Airport,包考機場
BCI,Barcaldine Airport,none
BCL,Barra del Colorado Airport,none
BCM,Bacau Airport,none
BCN,Barcelona International Airport,何塞普·塔拉德利亚斯巴塞罗那-埃尔普拉特机场
BCO,Baco Airport,none
BCR,Novo Campo Airport,none
BCS,Southern Seaplane Airport,none
BCT,Boca Raton Airport,none
BCX,Beloretsk Airport,none
BDA,L.F. Wade International International Airport,L·F·韋德國際機場
BDB,Bundaberg Airport,none
BDC,Barra do Corda Airport,none
BDD,Badu Island Airport,none
BDE,Baudette International Airport,none
BDF,Rinkenberger Airport,none
BDG,Blanding Municipal Airport,none
BDH,Bandar Lengeh Airport,none
BDI,Bird Island Airport,none
BDJ,Syamsudin Noor Airport,沙姆斯丁·努尔国际机场
BDK,Soko Airport,none
BDL,Bradley International Airport,布拉德利國際機場
BDM,Bandirma Airport,none
BDN,Talhar Airport,none
BDO,Husein Sastranegara International Airport,侯賽因·薩斯特拉內加拉國際機場
BDP,Bhadrapur Airport,none
BDQ,Vadodara Airport,none
BDR,Bridgeport/Sikorsky Airport,none
BDS,Brindisi / Casale Airport,none
BDT,Gbadolite Airport,none
BDU,Bardufoss Airport,none
BDV,Moba Airport,none
BDW,Bedford Downs Airport,none
BDX,Broadus Airport,none
BDY,Bandon State Airport,none
BDZ,Baindoung Airport,none
BEB,Benbecula Airport,本貝丘拉機場
BEC,Beech Factory Airport,none
BED,Laurence G Hanscom Field,none
BEF,Bluefields Airport,none
BEG,Belgrade Nikola Tesla Airport,貝爾格勒尼古拉·特斯拉機場
BEH,Southwest Michigan Regional Airport,none
BEI,Beica Airport,none
BEJ,Barau(Kalimaru) Airport,努山塔拉国际机场
BEK,Bareilly Air Force Station,none
BEL,Val de Cans/Julio Cezar Ribeiro International Airport,瓦爾德坎斯國際機場
BEM,Beni Mellal Airport,none
BEN,Benina International Airport,贝尼纳国际机场
BEO,Aeropelican Airport,none
BEP,Bellary Airport,none
BEQ,RAF Honington,none
BER,Berlin Brandenburg Airport,柏林勃兰登堡机场
BES,Brest Bretagne Airport,布雷斯特-布列塔尼機場
BET,Bethel Airport,none
BEU,Bedourie Airport,none
BEV,Be'er Sheva (Teyman) Airport,none
BEW,Beira Airport,none
BEX,RAF Benson,none
BEY,Beirut Rafic Hariri International Airport,贝鲁特-拉菲克·哈里里国际机场
BEZ,Beru Airport,貝魯島機場
BFA,Bahia Negra Airport,none
BFD,Bradford Regional Airport,none
BFE,Bielefeld Airport,none
BFF,Scottsbluff/Western Nebraska Regional/Wm  B Heilig Field,none
BFG,Bullfrog Basin Airport,none
BFH,Bacacheri Airport,none
BFI,Boeing Field/King County International Airport,波音機場
BFJ,Bijie Airport,畢節飛雄機場
BFK,Buckley Space Force Base Airport,none
BFL,Meadows Field,none
BFM,Mobile International Airport,none
BFN,J B M Hertzog International Airport,none
BFO,Buffalo Range Airport,none
BFP,Beaver County Airport,none
BFR,Virgil I Grissom Municipal Airport,none
BFS,Belfast International Airport,贝尔法斯特国际机场
BFT,Beaufort Executive Airport,none
BFU,Bengbu Airport,蚌埠仁和集机场
BFV,Buri Ram Airport,none
BFW,Sidi Bel Abbes Airport,none
BFX,Bafoussam Airport,巴富萨姆机场
BFY,Bengbu Tenghu Airport,蚌埠滕湖机场
BGA,Palonegro Airport,none
BGB,Booue Airport,none
BGC,Braganca Airport,none
BGD,Hutchinson County Airport,none
BGE,Decatur County Industrial Air Park,none
BGF,Bangui M'Poko International Airport,班吉-姆波科国际机场
BGG,Bingöl Airport,none
BGH,Abbaye Airport,none
BGI,Sir Grantley Adams International Airport,格蘭特利·亞當斯國際機場
BGJ,Borgarfjordur eystri Airport,none
BGK,Big Creek Airport,none
BGM,Greater Binghamton/Edwin A Link Field,none
BGN,Belaya Gora Airport,none
BGO,Bergen Airport Flesland,none
BGQ,Big Lake Airport,none
BGR,Bangor International Airport,none
BGT,Bagdad Airport,none
BGU,Bangassou Airport,none
BGV,Aeroclube de Bento Goncalves Airport,none
BGW,Baghdad International Airport,巴格達國際機場
BGX,Comandante Gustavo Kraemer Airport,none
BGY,Bergamo / Orio Al Serio Airport,奧廖阿爾塞廖國際機場
BHA,Los Perales Airport,none
BHB,Hancock County/Bar Harbor Airport,none
BHD,George Best Belfast City Airport,貝爾法斯特城市機場
BHE,Woodbourne Airport,none
BHF,Cupica Airport,none
BHH,Bisha Airport,none
BHI,Comandante Espora Airport,none
BHJ,Bhuj Airport,普杰机场
BHK,Bukhara Airport,布哈拉国际机场
BHM,Birmingham-Shuttlesworth International Airport,伯明翰-沙特尔斯沃思国际机场
BHO,Bhopal Airport,none
BHP,Bhojpur Airport,none
BHQ,Broken Hill Airport,none
BHR,Bharatpur Airport,none
BHS,Bathurst Airport,none
BHU,Bhavnagar Airport,none
BHV,Bahawalpur Airport,none
BHW,Bhagatanwala Airport,none
BHX,Birmingham International Airport,伯明翰机场
BHY,Beihai Airport,北海福成机场
BIA,Bastia-Poretta Airport,巴斯蒂亚机场
BIB,Baidoa Airport,none
BID,Block Island State Airport,none
BIE,Beatrice Municipal Airport,none
BIF,Biggs Army Air Field (Fort Bliss) Airport,none
BIG,Allen Army Air Field,none
BIH,Bishop Airport,none
BIK,Frans Kaisiepo Airport,弗兰斯·凯西波国际机场
BIL,Billings Logan International Airport,none
BIM,South Bimini Airport,none
BIN,Bamiyan Airport,none
BIO,Bilbao Airport,毕尔巴鄂机场
BIP,Bulimba Airport,none
BIQ,Biarritz-Anglet-Bayonne Airport,比亚里茨巴斯克地区机场
BIR,Biratnagar Airport,none
BIS,Bismarck Municipal Airport,none
BIT,Baitadi Airport,none
BIU,Bíldudalur Airport,none
BIV,Bria Airport,none
BIW,Billiluna Airport,none
BIX,Keesler Afb Airport,none
BIY,Bisho Airport,none
BJA,Soummam Airport,none
BJB,Bojnord Airport,none
BJC,Rocky Mountain Metro Airport,none
BJD,Bakkafjordur Airport,none
BJF,Båtsfjord Airport,none
BJI,Bemidji Regional Airport,none
BJJ,Wayne County Airport,none
BJK,Nangasuri Airport,本吉纳·楠阿苏里机场
BJL,Banjul International Airport,班珠尔国际机场
BJM,Bujumbura International Airport,布瓊布拉國際機場
BJO,Bermejo Airport,none
BJP,Aeroporto Estadual Arthur Siqueira Airport,none
BJR,Bahir Dar Airport,none
BJU,Bajura Airport,none
BJV,Milas Bodrum International Airport,none
BJW,Soa Airport,图勒雷洛·索阿机场
BJX,Del Bajio International Airport,none
BJY,Batajnica Air Base,none
BJZ,Badajoz Airport,none
BKA,Bykovo Airport,彼科沃機場
BKB,Nal Airport,none
BKC,Buckland Airport,none
BKD,Stephens County Airport,none
BKE,Baker City Municipal Airport,none
BKG,Branson Airport,none
BKH,Barking Sands Pmrf Airport,none
BKI,Kota Kinabalu International Airport,亞庇國際機場
BKJ,Boke Airport,none
BKK,Suvarnabhumi Airport,蘇凡納布機場
BKL,Burke Lakefront Airport,none
BKM,Bakalalan Airport,none
BKN,Balkanabat International Airport,none
BKO,Senou Airport,巴馬科國際機場
BKP,Barkly Downs Airport,none
BKQ,Blackall Airport,none
BKR,Bokoro Airport,none
BKS,Padang Kemiling (Fatmawati Soekarno) Airport,法玛瓦蒂·苏加诺机场
BKT,Allan C Perkinson/Blackstone Army Air Field,none
BKU,Betioky Airport,none
BKW,Raleigh County Memorial Airport,none
BKX,Brookings Regional Airport,none
BKY,Bukavu Kavumu Airport,none
BKZ,Bukoba Airport,none
BLA,General Jose Antonio Anzoategui International Airport,none
BLB,Howard/Panama Pacifico International Airport,none
BLC,Bali Airport,none
BLD,Boulder City Municipal Airport,none
BLE,Borlange Airport,达拉机场
BLF,Mercer County Airport,none
BLG,Belaga Airport,none
BLH,Blythe Airport,none
BLI,Bellingham International Airport,none
BLJ,Batna Airport,none
BLK,Blackpool International Airport,none
BLL,Billund Airport,比隆機場
BLM,Monmouth Executive Airport,none
BLN,Benalla Airport,none
