airport_code,airport_name,airport_name_zh
LFQ,Linfen Yaodu Airport,临汾尧都机场
LFR,La Fria Airport,none
LFT,Lafayette Regional/Paul Fournet Field,none
LFW,Lome-Tokoin Airport,纳辛贝·埃亚德马国际机场
LGA,Laguardia Airport,拉瓜地亞機場
LGB,Long Beach (Daugherty Field) Airport,长滩机场
LGC,Lagrange/Callaway Airport,none
LGD,La Grande/Union County Airport,none
LGF,Laguna Army Air Field (Yuma Proving Ground) Airport,none
LGG,Liege Airport,列日机场
LGH,Leigh Creek Airport,none
LGI,Deadman's Cay Airport,none
LGK,Langkawi International Airport,浮羅交怡國際機場
LGL,Long Lellang Airport,none
LGO,Langeoog Airport,none
LGQ,Nueva Loja Airport,none
LGR,Cochrane Airport,none
LGS,Comodoro D.R. Salomon Airport,none
LGT,La Gaviota Airport,none
LGU,Logan-Cache Airport,none
LGW,London Gatwick Airport,蓋特威克機場
LHA,Lahr Airport,none
LHB,Bruntingthorpe Airport,none
LHE,Alama Iqbal International Airport,阿拉马·伊克巴勒国际机场
LHG,Lightning Ridge Airport,none
LHI,Lereh Airport,none
LHK,Guangzhou MR Air Base,none
LHL,Lachin International Airport,拉欽國際機場
LHR,London Heathrow Airport,希斯路機場
LHS,Las Heras Airport,none
LHU,Lianshulu Airport,none
LHV,William T Piper Memorial Airport,none
LHW,Lanzhou Zhongchuan Airport,兰州中川国际机场
LIA,Liangping Airport,梁平機場
LIB,Limbunya Station Airport,none
LIC,Limon Municipal Airport,none
LIE,Libenge Airport,none
LIF,Lifou Airport,none
LIG,Limoges Airport,利摩日机场
LIH,Lihue Airport,none
LII,Mulia Airport,none
LIL,Lille-Lesquin Airport,里爾機場
LIM,Jorge Chavez International Airport,豪尔赫·查韦斯国际机场
LIN,Linate Airport,米蘭-利納特機場
LIO,Limon International Airport,none
LIP,Lins Airport,none
LIQ,Lisala Airport,none
LIR,Daniel Oduber Quiros International Airport,none
LIS,Lisbon Portela Airport,里斯本機場
LIT,Bill And Hillary Clinton Ntl/Adams Field,none
LIV,Livengood Camp Airport,none
LIW,Loikaw Airport,none
LIX,Likoma Island Airport,none
LIY,Wright Army Air Field (Fort Stewart)/Midcoast Regional Airport,none
LIZ,Loring International Airport,none
LJA,Lodja Airport,none
LJG,Lijiang Airport,麗江三義國際機場
LJN,Texas Gulf Coast Regional Airport,none
LJU,Ljubljana Joze Pucnik Airport,盧布爾雅那約熱·普奇尼克機場
LKA,Gewayentana Airport,none
LKB,Lakeba Island Airport,none
LKD,Lakeland Airport,none
LKG,Lokichoggio Airport,none
LKH,Long Akah Airport,none
LKK,Kulik Lake Airport,none
LKL,Banak Airport,none
LKN,Leknes Airport,none
LKO,Chaudhary Charan Singh International Airport,none
LKP,Lake Placid Airport,none
LKV,Lake County Airport,none
LKW,Lekhwair Airport,none
LKY,Lake Manyara Airport,none
LKZ,RAF Lakenheath,雷肯希斯皇家空军基地
LLA,Lulea Airport,吕勒奥機場
LLB,Qiannan Libo Airport,黔南荔波机场
LLE,Riverside Airport,none
LLF,Lingling Airport,永州零陵机场
LLG,Chillagoe Airport,none
LLI,Lalibella Airport,none
LLJ,Silampari,希兰帕里机场
LLK,Lankaran International Airport,連科蘭國際機場
LLS,Alferez Armando Rodriguez Airport,none
LLT,Lobito Airport,none
LLV,L?liang Dawu Airport,吕梁大武机场
LLW,Lilongwe International Airport,利隆圭国际机场
LLX,Caledonia County Airport,none
LLY,South Jersey Regional Airport,none
LMA,Minchumina Airport,none
LMB,Salima Airport,none
LME,Le Mans-Arnage Airport,勒芒-阿纳日机场
LMI,Lumi Airport,none
LMM,Valle del Fuerte International Airport,none
LMN,Limbang Airport,none
LMO,RAF Lossiemouth,none
LMP,Lampedusa Airport,蘭佩杜薩機場
LMQ,Marsa Brega Airport,none
LMR,Lime Acres Finsch Mine Airport,none
LMS,Louisville/Winston County Airport,none
LMT,Crater Lake/Klamath Regional Airport,none
LMV,Madivaru Airport,none
LMY,Lake Murray Airport,none
LNA,Palm Beach County Park Airport,none
LNB,Lamen Bay Airport,none
LND,Hunt Field,none
LNE,Lonorore Airport,none
LNH,Lake Nash Airport,none
LNI,Lonely Air Station,none
LNJ,Lincang Airport,临沧博尚机场
LNK,Lincoln Airport,none
LNL,Longnan Chengxian Airport,陇南成县机场
LNN,Lake County Executive Airport,none
LNO,Leonora Airport,none
LNP,Lonesome Pine Airport,none
LNR,Tri-County Regional Airport,none
LNS,Lancaster Airport,none
LNV,Londolovit Airport,none
LNX,Smolensk South Airport,none
LNY,Lanai Airport,none
LNZ,Linz Airport,林茨機場
LOA,Lorraine Airport,none
LOB,San Rafael Airport,none
LOC,Lock Airport,none
LOD,Longana Airport,none
LOE,Loei Airport,none
LOH,Camilo Ponce Enriquez Airport,none
LOI,Helmuth Baungarten Airport,none
LOK,Lodwar Airport,none
LOL,Derby Field,none
LOO,Laghouat Airport,none
LOP,Bandara International Lombok Airport,扎努丁·阿卜杜勒·马吉德国际机场
LOS,Murtala Muhammed International Airport,穆尔塔拉·穆罕默德国际机场
LOT,Lewis University Airport,none
LOU,Bowman Field,none
LOV,Monclova International Airport,none
LOW,Louisa County/Freeman Field,none
LOY,Loyengalani Airport,none
LOZ,London/Corbin/Magee Airport,none
LPA,Gran Canaria Airport,大加那利机场
LPB,El Alto International Airport,埃爾阿爾托國際機場
LPC,Lompoc Airport,none
LPD,La Pedrera Airport,none
LPF,Liupanshui Yuezhao Airport,六盘水月照机场
LPG,La Plata Airport,拉普拉塔机场
LPI,Linkoping SAAB Airport,none
LPJ,Armando Schwarck Airport,none
LPK,Lipetsk Airport,none
LPL,Liverpool John Lennon Airport,利物浦约翰·列侬机场
LPM,Lamap Airport,none
LPO,La Porte Municipal Airport,none
LPP,Lappeenranta Airport,拉彭兰塔机场
LPQ,Luang Phabang International Airport,琅勃拉邦國際機場
LPS,Lopez Island Airport,none
LPT,Lampang Airport,none
LPU,Long Apung Airport,none
LPX,Liepaja International Airport,利耶帕亚国际机场
LPY,Le Puy-Loudes Airport,勒皮-卢德机场
LPZ,San Gil Airport,none
LQK,Pickens County Airport,none
LQM,Caucaya Airport,none
LQN,Qala-I-Naw Airport,瑙堡机场
LRA,Larisa Airport,none
LRB,Leribe Airport,none
LRD,Laredo International Airport,none
LRE,Longreach Airport,none
LRF,Little Rock Afb Airport,none
LRG,Loralai Airport,none
LRH,La Rochelle-Ile de Re Airport,拉罗谢尔机场
LRJ,Le Mars Municipal Airport,none
LRL,Niamtougou International Airport,none
LRM,Casa De Campo International Airport,none
LRR,Lar Airport,none
LRS,Leros Airport,none
LRT,Lorient South Brittany (Bretagne Sud) Airport,none
LRU,Las Cruces International Airport,none
LRV,Gran Roque Airport,none
LSA,Losuia Airport,none
LSB,Lordsburg Municipal Airport,none
LSC,La Florida Airport,none
LSE,La Crosse Regional Airport,none
LSF,Lawson Army Air Field (Fort Benning) Airport,none
LSG,"Leshan Airport (under construction, unknown coordinates)",none
LSH,Lashio Airport,臘戍機場
LSI,Sumburgh Airport,none
LSK,Lusk Municipal Airport,none
LSL,Los Chiles Airport,none
LSM,Long Semado Airport,none
LSN,Los Banos Municipal Airport,none
LSO,Les Sables-d'Olonne Talmont Airport,none
LSP,Josefa Camejo International Airport,none
LSQ,Maria Dolores Airport,none
LSS,Terre-de-Haut Airport,none
LST,Launceston Airport,none
LSU,Long Sukang Airport,none
LSV,Nellis Afb Airport,内利斯空军基地
LSW,Malikus Saleh Airport,none
LSX,Lhok Sukon Airport,none
LSY,Lismore Airport,none
LSZ,Losinj Island Airport,none
LTA,Tzaneen Airport,none
LTC,Lai Airport,none
LTD,Ghadames East Airport,none
LTG,Langtang Airport,none
LTI,Altai Airport,阿尔泰机场
LTK,Bassel Al-Assad International Airport,拉塔基亚国际机场
LTL,Lastourville Airport,none
LTM,Lethem Airport,none
LTN,London Luton Airport,倫敦盧頓機場
LTO,Loreto International Airport,none
LTP,Lyndhurst Airport,none
LTQ,Le Touquet-Cote d'Opale Airport,勒图凯机场
LTS,Altus Afb Airport,none
LTT,La Mole Airport,圣特罗佩湾-拉莫勒机场
LTU,Murod Kond Airport,none
LTV,Lotus Vale Airport,none
LTW,St Mary's County Regional Airport,none
LTX,Cotopaxi International Airport,none
LUA,Lukla Airport,丹增-希拉里機場
LUB,Lumid Pau Airport,卢米德帕机场
LUC,Laucala Island Airport,none
LUD,Luderitz Airport,none
LUE,Lucenec Airport,none
LUF,Luke Afb Airport,路克空軍基地
LUG,Lugano Airport,none
LUH,Ludhiana Airport,none
LUK,Cincinnati Municipal/Lunken Field,none
LUL,Hesler/Noble Field,none
LUM,Mangshi Airport,德宏芒市国际机场
LUN,Kenneth Kaunda International Airport,肯尼思·卡翁达国际机场
LUO,Luena Airport,none
LUP,Kalaupapa Airport,none
LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport,none
LUR,Cape Lisburne Lrrs Airport,none
LUS,Lusanga Airport,卢桑加机场
LUT,New Laura Airport,none
LUU,Laura Airport,none
LUV,Dumatumbun Airport,杜马图本机场
LUW,Bubung Airport,舒库兰·阿米努丁·阿米尔机场
LUX,Luxembourg-Findel International Airport,卢森堡机场
LUZ,Lublin Airport,盧布林機場
LVA,Laval-Entrammes Airport,none
LVD,Lime Village Airport,none
LVI,Livingstone Airport,none
LVK,Livermore Municipal Airport,none
LVL,Brunswick County Airport,none
LVM,Mission Field,none
LVO,Laverton Airport,拉弗顿机场
LVP,Lavan Island Airport,none
LVR,Municipal Bom Futuro Airport,none
LVS,Las Vegas Municipal Airport,none
LWB,Greenbrier Valley Airport,none
LWC,Lawrence Regional Airport,none
LWH,Lawn Hill Airport,none
LWI,Lowai Airstrip,none
LWK,Lerwick / Tingwall Airport,none
LWL,Wells Municipal/Harriet Field,none
LWM,Lawrence Municipal Airport,none
LWN,Gyumri Shirak Airport,希拉克機場
LWO,Lviv International Airport,利沃夫哈利茨基国际机场
LWR,Leeuwarden Air Base,吕伐登空军基地
LWS,Lewiston/Nez Perce County Airport,none
LWT,Lewistown Municipal Airport,none
LWV,Lawrenceville-Vincennes International Airport,none
LWY,Lawas Airport,none
LXA,Lhasa Gonggar Airport,拉萨贡嘎国际机场
LXG,Luang Namtha Airport,琅南塔機場
LXN,Jim Kelly Field,none
LXR,Luxor International Airport,卢克索国际机场
LXS,Limnos Airport,none
LXU,Lukulu Airport,none
LYA,Luoyang Airport,洛阳北郊机场
LYB,Edward Bodden Airfield,none
LYC,Lycksele Airport,none
LYG,Lianyungang Airport,連雲港花果山國際機場
LYH,Lynchburg Regional/Preston Glenn Field,none
LYI,Shubuling Airport,临沂启阳国际机场
LYN,Lyon-Bron Airport,none
LYO,Lyons-Rice County Municipal Airport,none
LYP,Faisalabad International Airport,none
LYR,Svalbard Airport Longyear,斯瓦爾巴機場
LYS,Lyon Saint-Exupery Airport,里昂圣埃克絮佩里机场
LYU,Ely Municipal Airport,none
LYX,Lydd Airport,none
LZA,Luiza Airport,none
LZC,Lazaro Cardenas Airport,none
LZG,Langzhong Gucheng Airport,阆中古城机场
LZH,Bailian Airport,柳州白莲机场
LZI,Luozi Airport,none
LZM,Luzamba Airport,none
LZN,Matsu Nangan Airport,馬祖南竿機場
LZO,Luzhou Airport,泸州云龙机场
LZR,Lizard Island Airport,none
LZU,Gwinnett County/Briscoe Field,none
LZY,Nyingchi Airport,林芝米林机场
MAA,Chennai International Airport,金奈国际机场
MAB,Maraba Airport,none
MAC,Macon Downtown Airport,none
MAD,Madrid Barajas International Airport,阿道弗·苏亚雷斯马德里-巴拉哈斯机场
MAE,Madera Municipal Airport,none
MAF,Midland International Air And Space Port Airport,密德蘭國際航空航天港
MAG,Madang Airport,none
MAH,Menorca Airport,梅诺卡机场
MAJ,Amata Kabua International Airport,馬紹爾群島國際機場
MAK,Malakal Airport,none
MAL,Mangole Airport Falabisahaya,none
MAM,General Servando Canales International Airport,none
MAN,Manchester Airport,曼徹斯特機場
MAO,Eduardo Gomes International Airport,马瑙斯-爱德华多·戈梅斯国际机场
MAQ,Mae Sot Airport,none
MAR,La Chinita International Airport,none
MAS,Momote Airport,none
MAT,Tshimpi Airport,none
MAU,Maupiti Airport,none
MAW,Malden Regional Airport,none
MAX,Ouro Sogui Airport,none
MAY,Clarence A. Bain Airport,none
MAZ,Eugenio Maria De Hostos Airport,none
MBA,Mombasa Moi International Airport,莫伊国际机场
MBB,Marble Bar Airport,none
MBC,M'Bigou Airport,姆比古机场
MBD,Mmabatho International Airport,梅富根机场
MBE,Monbetsu Airport,紋別機場
MBF,Porepunkah Airport,none
MBG,Mobridge Municipal Airport,none
MBH,Maryborough Airport,none
MBI,Mbeya Airport,none
MBJ,Sangster International Airport,none
MBK,Regional Orlando Villas Boas Airport,none
MBL,Manistee County/Blacker Airport,none
MBO,Mamburao Airport,none
MBP,Moyobamba Airport,none
MBQ,Mbarara Airport,none
MBS,Mbs International Airport,none
MBT,Moises R. Espinosa Airport,none
MBU,Babanakira Airport,none
MBW,Melbourne Moorabbin Airport,none
MBX,Maribor Airport,馬里博爾愛德華·魯斯揚機場
MBY,Omar N Bradley Airport,none
MBZ,Maues Airport,none
MCA,Macenta Airport,none
MCB,Mc Comb/Pike County/John E Lewis Field,none
MCC,Mc Clellan Airfield,none
MCD,Mackinac Island Airport,none
MCE,Merced Yosemite Regional Airport,none
MCF,Macdill Afb Airport,none
MCG,Mc Grath Airport,none
MCH,General Manuel Serrano Airport,none
MCI,Kansas City International Airport,堪萨斯城国际机场
MCJ,Jorge Isaac Airport,none
MCK,Mc Cook Ben Nelson Regional Airport,none
MCL,Mc Kinley Ntl Park Airport,none
MCN,Middle Georgia Regional Airport,none
MCO,Orlando International Airport,奥兰多国际机场
MCP,Alberto Alcolumbre Airport,none
MCR,Melchor de Mencos Airport,none
MCS,Monte Caseros Airport,none
MCT,Muscat International Airport,馬斯喀特國際機場
MCU,Montlucon-Gueret Airport,none
MCV,McArthur River Mine Airport,none
MCW,Mason City Municipal Airport,none
MCX,Uytash Airport,乌伊塔什机场
MCY,Sunshine Coast Airport,陽光海岸機場
MCZ,Zumbi dos Palmares Airport,none
MDC,Sam Ratulangi Airport,萨姆·拉图兰吉国际机场
MDD,Midland Airpark,none
MDE,Jose Maria Cordova International Airport,何塞·玛丽亚·科尔多瓦国际机场
MDF,Taylor County Airport,none
MDG,Mudanjiang Hailang International Airport,牡丹江海浪国际机场
MDH,Southern Illinois Airport,none
MDI,Makurdi Airport,none
MDJ,Madras Municipal Airport,none
MDK,Mbandaka Airport,none
MDL,Mandalay International Airport,曼德勒國際機場
MDN,Madison Regional Airport,none
MDO,Middleton Island Airport,none
MDP,Mindiptana Airport,none
MDQ,Astor Piazzola International Airport,none
MDS,Middle Caicos Airport,none
MDT,Harrisburg International Airport,none
MDU,Mendi Airport,none
MDW,Chicago Midway International Airport,中途国际机场
MDX,Mercedes Airport,none
MDY,Henderson Field,亨德森机场
MDZ,El Plumerillo Airport,none
MEA,Macae Airport,none
MEB,Melbourne Essendon Airport,埃森登機場
MEC,Eloy Alfaro International Airport,none
MED,Prince Mohammad Bin Abdulaziz Airport,穆罕默德·本·阿卜杜勒-阿齐兹亲王国际机场
MEE,Mare Airport,none
MEG,Malanje Airport,none
MEH,Mehamn Airport,none
MEI,Key Field,none
MEJ,Port Meadville Airport,none
MEK,Bassatine Airport,none
MEL,Melbourne International Airport,墨爾本機場
MEM,Frederick W Smith International Airport,孟菲斯國際機場
MEN,Mende-Brenoux Airport,none
MEO,Dare County Regional Airport,none
MEP,Mersing Airport,none
MEQ,Cut Nyak Dien Airport,none
MER,Castle Airport,none
MES,Soewondo Air Force Base,苏文多空军基地
MET,Moreton Airport,none
MEU,Monte Dourado Airport,none
MEV,Minden-Tahoe Airport,none
MEW,Mweka Airport,none
MEX,Licenciado Benito Juarez International Airport,墨西哥城国际机场
MEY,Meghauli Airport,none
MEZ,Musina(Messina) Airport,none
MFA,Mafia Island Airport,none
MFC,Mafeteng Airport,none
MFD,Mansfield Lahm Regional Airport,none
MFE,Mc Allen International Airport,none
MFF,Moanda Airport,none
MFG,Muzaffarabad Airport,none
MFH,Mesquite Airport,none
MFI,Marshfield Municipal Airport,none
MFJ,Moala Airport,none
MFK,Matsu Beigan Airport,馬祖北竿機場
MFM,Macau International Airport,澳門國際機場
MFN,Milford Sound Airport,米爾福德峽灣機場
MFO,Manguna Airport,none
MFP,Manners Creek Airport,none
MFQ,Maradi Airport,none
MFR,Rogue Valley International/Medford Airport,none
MFS,Miraflores Airport,none
MFU,Mfuwe Airport,none
MFV,Accomack County Airport,none
MFX,Meribel Airport,none
MGA,Augusto C. Sandino (Managua) International Airport,奥古斯托·塞萨尔·桑地诺国际机场
MGB,Mount Gambier Airport,none
MGC,Michigan City Municipal-Phillips Field,none
MGD,Magdalena Airport,none
MGE,Dobbins Arb Airport,none
MGF,Regional de Maringa - Silvio Nane Junior Airport,none
MGH,Margate Airport,馬蓋特機場
MGJ,Orange County Airport,none
MGK,Mong Tong Airport,none
MGL,Monchengladbach Airport,none
MGM,Montgomery Regional (Dannelly Field) Airport,none
MGN,Baracoa Airport,none
MGQ,Aden Adde International Airport,亚丁·阿德国际机场
MGR,Moultrie Municipal Airport,none
MGS,Mangaia Island Airport,none
MGT,Milingimbi Airport,none
MGU,Manaung Airport,none
MGV,Margaret River (Station) Airport,none
MGW,Morgantown Municipal/Walter L Bill Hart Field,摩根敦市立機場
MGX,Moabi Airport,none
MGY,Dayton/Wright Brothers Airport,none
MGZ,Myeik Airport,丹老機場
MHA,Mahdia Airport,none
MHC,Mocopulli Airport,none
MHD,Mashhad International Airport,沙希德·哈希米内贾德国际机场
MHE,Mitchell Municipal Airport,none
MHG,Mannheim-City Airport,none
MHH,Marsh Harbour International Airport,none
MHI,Moucha Airport,none
MHK,Manhattan Regional Airport,none
MHL,Marshall Memorial Municipal Airport,none
MHN,Hooker County Airport,none
MHO,Mount House Airport,none
MHQ,Mariehamn Airport,玛丽港机场
MHR,Sacramento Mather Airport,none
MHS,Dunsmuir Municipal-Mott Airport,none
MHT,Manchester Boston Regional Airport,none
MHU,Mount Hotham Airport,none
MHV,Mojave Air & Space Port/Rutan Field,none
MHW,Monteagudo Airport,none
MHX,Manihiki Island Airport,none
MHZ,RAF Mildenhall,米登霍爾皇家空軍基地
MIA,Miami International Airport,邁亞密國際機場
MIB,Minot Afb Airport,邁諾特空軍基地
MIC,Crystal Airport,none
MID,Licenciado Manuel Crescencio Rejon Int Airport,none
MIE,Delaware County Regional Airport,none
MIF,Roy Hurd Memorial Airport,none
MIG,Mianyang Airport,绵阳南郊机场
MIH,Mitchell Plateau Airport,none
MII,Marilia Airport,none
MIJ,Mili Airport,none
MIK,Mikkeli Airport,米凯利机场
MIM,Merimbula Airport,none
MIN,Minnipa Airport,none
MIO,Miami Regional Airport,none
MIP,Mitzpe Ramon Airfield,none
MIQ,Millard Airport,none
MIR,Monastir Habib Bourguiba International Airport,莫纳斯提尔哈比卜·布尔吉巴国际机场
MIS,Misima Island Airport,none
MIT,Shafter-Minter Field,none
MIU,Maiduguri International Airport,none
MIV,Millville Municipal Airport,none
MIW,Marshalltown Municipal Airport,none
MJA,Manja Airport,none
MJC,Man Airport,none
MJD,Moenjodaro Airport,none
MJF,Mosjøen Airport Kjaerstad,none
MJG,Mayajigua Airport,none
MJI,Mitiga Airport,米提加国际机场
MJK,Shark Bay Airport,none
MJL,Mouilla Ville Airport,none
MJM,Mbuji Mayi Airport,none
MJN,Amborovy Airport,none
MJO,Mount Etjo Airport,none
MJP,Manjimup Airport,none
MJQ,Jackson Municipal Airport,none
MJR,Miramar Airport,米拉玛机场
MJT,Mytilene International Airport,none
MJU,Tampa Padang Airport,坦帕巴当机场
MJX,Ocean County Airport,none
MJZ,Mirny Airport,none
MKA,Marianske Lazne Airport,none
MKB,Mekambo Airport,none
MKC,Kansas City Downtown/Wheeler Field,none
MKE,General Mitchell International Airport,none
MKG,Muskegon County Airport,none
MKH,Mokhotlong Airport,none
MKI,M'Boki Airport,none
MKJ,Makoua Airport,none
MKK,Molokai Airport,none
MKL,Jackson Regional Airport,none
MKM,Mukah Airport,none
MKO,Muskogee-Davis Regional Airport,none
MKP,Makemo Airport,马凯莫机场
MKQ,Mopah Airport,莫帕国际机场
MKR,Meekatharra Airport,none
MKT,Mankato Regional Airport,none
MKU,Makokou Airport,none
MKV,Mount Cavenagh Airport,none
MKW,Rendani Airport,任代尼机场
MKY,Mackay Airport,none
MKZ,Malacca Airport,马六甲国际机场
MLA,Luqa Airport,馬耳他國際機場
MLB,Melbourne Orlando International Airport,none
MLC,Mc Alester Regional Airport,none
MLD,Malad City Airport,none
MLE,Velana International Airport,维拉纳国际机场
MLF,Milford Municipal/Ben And Judy Briscoe Field,none
MLG,Abdul Rachman Saleh Airport,阿卜杜勒·拉赫曼·萨利赫机场
MLI,Quad Cities International Airport,none
MLJ,Baldwin County Regional Airport,none
MLK,Malta Airport,none
MLL,Marshall Don Hunter Sr Airport,none
MLM,General Francisco J. Mujica International Airport,none
MLN,Melilla Airport,梅利利亚机场
MLO,Milos Airport,none
MLP,Malabang Airport,none
MLR,Millicent Airport,none
MLS,Frank Wiley Field,none
MLT,Millinocket Municipal Airport,none
MLU,Monroe Regional Airport,none
MLV,Merluna Airport,none
MLW,Spriggs Payne Airport,none
MLX,Malatya Erhac Airport,none
MLY,Manley Hot Springs Airport,none
MLZ,Cerro Largo International Airport,none
MMB,Memanbetsu Airport,女滿別機場
MMC,Ciudad Mante National Airport,none
MMD,Minami Daito Airport,南大東機場
MME,Durham Tees Valley Airport,none
MMF,Mamfe Airport,none
MMG,Mount Magnet Airport,none
MMH,Mammoth Yosemite Airport,none
MMI,Mcminn County Airport,none
MMJ,Matsumoto Airport,松本機場
MMK,Murmansk Airport,摩尔曼斯克机场
MML,Southwest Minnesota Regional Marshall/Ryan Field,none
MMM,Middlemount Airport,none
MMN,Minute Man Air Field,none
MMO,Maio Airport,none
MMP,San Bernardo Airport,none
MMQ,Mbala Airport,none
MMS,Selfs Airport,none
MMT,Mc Entire Jngb Airport,none
MMU,Morristown Municipal Airport,none
MMX,Malmo Sturup Airport,马尔默机场
MMY,Miyako Airport,宮古機場
MMZ,Maimana Airport,none
MNA,Melangguane Airport,梅龙瓜内机场
MNB,Muanda Airport,none
MNC,Nacala Airport,none
MNE,Mungeranie Airport,none
MNF,Mana Island Airport,none
MNG,Maningrida Airport,none
MNH,Rustaq Airport,none
MNI,John A. Osborne Airport,none
MNJ,Mananjary Airport,马南扎里机场
MNK,Maiana Airport,none
MNL,Ninoy Aquino International Airport,尼诺伊·阿基诺国际机场
MNM,Menominee Regional Airport,none
MNN,Marion Municipal Airport,none
MNO,Manono Airport,none
MNQ,Monto Airport,none
MNR,Mongu Airport,none
MNS,Mansa Airport,none
MNT,Minto Al Wright Airport,none
MNU,Mawlamyine Airport,none
MNW,Macdonald Downs Airport,none
MNX,Manicore Airport,none
MNY,Mono Airport,莫諾機場
MNZ,Manassas Regional/Harry P Davis Field,none
MOA,Orestes Acosta Airport,none
MOB,Mobile Regional Airport,none
MOC,Mario Ribeiro Airport,none
MOD,Modesto City-County-Harry Sham Field,none
MOE,Momeik Airport,none
MOF,Maumere(Wai Oti) Airport,弗兰斯·泽维尔·塞达机场
MOG,Mong Hsat Airport,none
MOI,Mitiaro Island Airport,none
MOJ,Moengo Airstrip,none
MOL,Molde Airport,none
MOM,Letfotar Airport,none
MON,Mount Cook Airport,none
MOO,Moomba Airport,none
MOP,Mount Pleasant Municipal Airport,none
MOQ,Morondava Airport,none
MOR,Moore-Murrell Airport,none
MOS,Moses Point Airport,none
MOT,Minot International Airport,none
MOU,Mountain Village Airport,none
MOV,Moranbah Airport,none
MOX,Morris Municipal/Charlie Schmidt Field,none
MOZ,Moorea Airport,none
MPA,Katima Mulilo Airport,none
MPC,Muko Muko Airport,none
MPD,Sindhri Tharparkar Airport,none
MPH,Godofredo P. Ramos Airport,葛多菲多·洛莫斯機場
MPJ,Petit Jean Park Airport,none
MPL,Montpellier-Mediterranee Airport,蒙佩利爾地中海機場
MPM,Maputo Airport,马普托国际机场
MPN,Mount Pleasant Airport,芒特普莱森特皇家空军基地
MPO,Pocono Mountains Regional Airport,none
MPR,Mc Pherson Airport,none
MPS,Mount Pleasant Regional Airport,none
MPT,Maliana Airport,none
MPV,Edward F Knapp State Airport,none
MPW,Mariupol International Airport,馬里烏波爾國際機場
MPY,Maripasoula Airport,none
MQA,Mandora Airport,none
MQB,Macomb Municipal Airport,none
MQC,Miquelon Airport,none
MQD,Maquinchao Airport,none
MQE,Marqua Airport,none
MQF,Magnitogorsk International Airport,none
MQH,Minacu Airport,none
MQJ,Moma Airport,none
MQK,San Matias Airport,none
MQL,Mildura Airport,none
MQM,Mardin Airport,none
MQN,Mo i Rana Airport Rossvoll,none
MQP,Kruger Mpumalanga International Airport,克留格爾普馬蘭加國際機場
MQQ,Moundou Airport,none
MQS,Mustique Airport,none
MQT,Marquette/Sawyer Regional Airport,none
MQW,Telfair-Wheeler Airport,none
MQX,Mekele Airport,none
MQY,Smyrna Airport,none
MQZ,Margaret River Airport,none
MRA,Misrata International Airport,none
MRB,Eastern Wv Regional/Shepherd Field,none
MRC,Maury County Regional Airport,none
MRD,Alberto Carnevalli Airport,none
MRE,Mara Serena Lodge Airstrip,none
MRF,Marfa Municipal Airport,none
MRG,Mareeba Airport,none
MRI,Merrill Field,none
MRK,Marco Island Executive Airport,none
MRN,Foothills Regional Airport,none
MRO,Hood Airport,none
MRP,Marla Airport,none
MRQ,Marinduque Airport,none
MRR,Jose Maria Velasco Ibarra Airport,none
MRS,Marseille Provence Airport,马赛普罗旺斯机场
MRU,Sir Seewoosagur Ramgoolam International Airport,西沃萨古尔·拉姆古兰爵士国际机场
MRV,Mineralnyye Vody Airport,礦水城機場
MRW,Lolland Falster Maribo Airport,洛兰-法尔斯特机场
MRX,Mahshahr Airport,none
MRY,Monterey Regional Airport,none
MRZ,Moree Airport,none
MSA,Muskrat Dam Airport,none
MSC,Falcon Field,none
MSF,Mount Swan Airport,none
MSG,Matsaile Airport,none
MSH,Masirah Air Base,none
MSJ,Misawa Air Base,none
MSL,Northwest Alabama Regional Airport,none
MSM,Masi Manimba Airport,none
MSN,Dane County Regional/Truax Field,none
MSO,Missoula Montana Airport,none
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,明尼阿波利斯-圣保罗国际机场
MSQ,Minsk International Airport,明斯克国际机场
MSR,Mus Airport,none
MSS,Massena International-Richards Field,none
MST,Maastricht Aachen Airport,马斯特里赫特-亚琛机场
MSU,Moshoeshoe I International Airport,莫舒舒一世国际机场
MSV,Sullivan County International Airport,none
MSW,Massawa International Airport,馬薩瓦國際機場
MSX,Mossendjo Airport,none
MSY,Louis Armstrong New Orleans International Airport,新奥尔良路易斯阿姆斯特朗国际机场
MSZ,Namibe Airport,none
MTA,Matamata Glider Airport,none
MTB,Montelibano Airport,none
MTC,Selfridge Angb Airport,none
MTD,Mount Sanford Station Airport,none
MTE,Monte Alegre Airport,none
MTF,Mizan Teferi Airport,none
MTG,Vila Bela da Santissima Trindade Airport,none
MTH,The Florida Keys Marathon International Airport,none
MTI,Mosteiros Airport,none
MTJ,Montrose Regional Airport,none
MTK,Makin Island Airport,none
MTL,Maitland Airport,none
MTN,Martin State Airport,none
MTO,Coles County Memorial Airport,none
MTP,Montauk Airport,none
MTQ,Mitchell Airport,none
MTR,Los Garzones Airport,none
MTS,Matsapha Airport,馬沙霸機場
MTT,Minatitlan/Coatzacoalcos National Airport,none
MTV,Mota Lava Airport,none
MTW,Manitowoc County Airport,none
MTX,Metro Field,none
MTY,General Mariano Escobedo International Airport,蒙特雷國際機場
MTZ,Bar Yehuda Airfield,none
